Datetime,Nuclear,Gas,Hydro,Wind,Solar,Biofuel
2015-01-01 00:00:00,11564.0,957.0,3173.0,2504.0,0.0,20.0
2015-01-01 01:00:00,11560.0,946.0,3100.0,2262.0,0.0,20.0
2015-01-01 02:00:00,11560.0,947.0,3051.0,2025.0,0.0,20.0
2015-01-01 03:00:00,11444.0,949.0,3086.0,1950.0,0.0,22.0
2015-01-01 04:00:00,11174.0,946.0,3131.0,2015.0,0.0,21.0
2015-01-01 05:00:00,10974.0,947.0,3103.0,2332.0,0.0,20.0
2015-01-01 06:00:00,10976.0,951.0,3315.0,2368.0,0.0,20.0
2015-01-01 07:00:00,11199.0,952.0,3567.0,2258.0,0.0,20.0
2015-01-01 08:00:00,11271.0,952.0,3637.0,2183.0,0.0,20.0
2015-01-01 09:00:00,11270.0,953.0,3932.0,2605.0,0.0,20.0
2015-01-01 10:00:00,11416.0,951.0,3767.0,2704.0,0.0,20.0
2015-01-01 11:00:00,11570.0,954.0,3719.0,2444.0,0.0,20.0
2015-01-01 12:00:00,11562.0,952.0,3826.0,2741.0,0.0,20.0
2015-01-01 13:00:00,11560.0,951.0,3974.0,2733.0,0.0,20.0
2015-01-01 14:00:00,11565.0,970.0,3947.0,2586.0,0.0,20.0
2015-01-01 15:00:00,11564.0,1007.0,4202.0,2266.0,0.0,20.0
2015-01-01 16:00:00,11564.0,1093.0,4296.0,2634.0,0.0,19.0
2015-01-01 17:00:00,11564.0,1083.0,5056.0,2760.0,0.0,18.0
2015-01-01 18:00:00,11569.0,1083.0,5143.0,2692.0,0.0,18.0
2015-01-01 19:00:00,11567.0,1084.0,4774.0,2737.0,0.0,18.0
2015-01-01 20:00:00,11567.0,1084.0,4566.0,2651.0,0.0,18.0
2015-01-01 21:00:00,11562.0,1083.0,4035.0,2631.0,0.0,18.0
2015-01-01 22:00:00,11561.0,941.0,3539.0,2649.0,0.0,18.0
2015-01-01 23:00:00,11558.0,903.0,3276.0,2079.0,0.0,18.0
2015-01-02 00:00:00,11566.0,900.0,3060.0,1955.0,0.0,18.0
2015-01-02 01:00:00,11566.0,900.0,3086.0,1854.0,0.0,18.0
