Datetime,Nuclear,Gas,Hydro,Wind,Solar,Biofuel
2024-01-01 00:00:00,9473.0,2434.0,4366.0,693.0,0.0,16.0
2024-01-01 01:00:00,9474.0,2314.0,3925.0,0.0,0.0,20.0
2024-01-01 02:00:00,9480.0,1973.0,3569.0,0.0,0.0,17.0
2024-01-01 03:00:00,9480.0,1611.0,3372.0,0.0,0.0,17.0
2024-01-01 04:00:00,9481.0,1577.0,3392.0,0.0,0.0,17.0
2024-01-01 05:00:00,9482.0,1560.0,3562.0,0.0,0.0,17.0
2024-01-01 06:00:00,9486.0,1658.0,3876.0,0.0,0.0,24.0
2024-01-01 07:00:00,9484.0,1943.0,4659.0,1401.0,0.0,29.0
2024-01-01 08:00:00,9483.0,2054.0,4795.0,1257.0,25.0,29.0
2024-01-01 09:00:00,9481.0,2454.0,0.0,1033.0,87.0,29.0
2024-01-01 10:00:00,9481.0,2967.0,0.0,901.0,140.0,29.0
2024-01-01 11:00:00,9447.0,3312.0,0.0,862.0,169.0,29.0
2024-01-01 12:00:00,9446.0,3372.0,0.0,773.0,165.0,30.0
2024-01-01 13:00:00,9480.0,3649.0,0.0,0.0,153.0,30.0
2024-01-01 14:00:00,9538.0,4113.0,4406.0,542.0,104.0,49.0
2024-01-01 15:00:00,9538.0,3863.0,4689.0,628.0,48.0,75.0
2024-01-01 16:00:00,9537.0,4051.0,5188.0,0.0,3.0,83.0
2024-01-01 17:00:00,9538.0,4565.0,0.0,0.0,0.0,83.0
2024-01-01 18:00:00,9543.0,4627.0,0.0,0.0,0.0,82.0
2024-01-01 19:00:00,9547.0,3995.0,0.0,0.0,0.0,82.0
2024-01-01 20:00:00,9544.0,3788.0,0.0,0.0,0.0,82.0
2024-01-01 21:00:00,9537.0,3618.0,0.0,1215.0,0.0,43.0
2024-01-01 22:00:00,9538.0,3038.0,0.0,0.0,0.0,30.0
2024-01-01 23:00:00,9573.0,2514.0,0.0,0.0,0.0,23.0
2024-01-02 00:00:00,9595.0,1644.0,0.0,0.0,0.0,17.0
2024-01-02 01:00:00,9584.0,1448.0,0.0,0.0,0.0,16.0
2024-01-02 02:00:00,9619.0,1190.0,0.0,0.0,0.0,16.0
2024-01-02 03:00:00,9651.0,1196.0,0.0,2069.0,0.0,16.0
2024-01-02 04:00:00,9699.0,1382.0,0.0,0.0,0.0,16.0
2024-01-02 05:00:00,9705.0,1832.0,0.0,0.0,0.0,17.0
2024-01-02 06:00:00,9708.0,2084.0,0.0,0.0,0.0,26.0
2024-01-02 07:00:00,9714.0,2252.0,0.0,0.0,0.0,30.0
2024-01-02 08:00:00,9716.0,2374.0,5179.0,0.0,5.0,30.0
2024-01-02 09:00:00,9716.0,2423.0,5094.0,0.0,19.0,30.0
2024-01-02 10:00:00,9815.0,2473.0,4957.0,0.0,34.0,30.0
2024-01-02 11:00:00,9887.0,2845.0,4625.0,3671.0,40.0,30.0
2024-01-02 12:00:00,9887.0,2610.0,4472.0,4007.0,37.0,30.0
2024-01-02 13:00:00,9884.0,2402.0,4396.0,4067.0,33.0,30.0
2024-01-02 14:00:00,9820.0,2703.0,4593.0,3853.0,27.0,30.0
